tconst	averageRating	numVotes
tt0000001	5.6	1567
tt0000002	6.1	189
tt0000003	6.5	1231
tt0000004	6.2	115
tt0000005	6.1	1965
tt0000006	5.2	106
tt0000007	5.4	622
tt0000008	5.4	1694
tt0000009	5.4	85
tt0000010	6.9	5617
tt0000011	5.2	241
tt0000012	7.4	9536
tt0000013	5.7	1463
tt0000014	7.1	4166
tt0000015	6.1	754
tt0000016	5.9	1102
tt0000017	4.6	221
tt0000018	5.4	454
tt0000019	5.5	17
tt0000020	5.0	252
tt0000022	5.1	819
tt0000023	5.6	1044
tt0000024	4.9	30
tt0000025	4.4	25
tt0000026	5.7	1244
tt0000027	5.5	861
tt0000028	5.1	787
tt0000029	5.9	2669
tt0000030	5.2	651
tt0000031	5.5	765
tt0000032	5.1	319
tt0000033	5.5	802
tt0000034	5.4	118
tt0000035	5.6	52
tt0000036	4.4	462
tt0000037	4.6	39
